"","Season","School"
"10705","2017-2018","Prairie View"
"10706","2017-2018","Presbyterian"
"10707","2017-2018","Princeton"
"10708","2017-2018","Providence"
"10709","2017-2018","Purdue"
"10710","2017-2018","Purdue-Fort Wayne"
"10711","2017-2018","Quinnipiac"
"10712","2017-2018","Radford"
"10713","2017-2018","Rhode Island"
"10714","2017-2018","Rice"
"10715","2017-2018","Richmond"
"10716","2017-2018","Rider"
"10717","2017-2018","Robert Morris"
"10718","2017-2018","Rutgers"
"10719","2017-2018","Sacramento State"
"10720","2017-2018","Sacred Heart"
"10721","2017-2018","Saint Francis (PA)"
"10722","2017-2018","Saint Joseph's"
"10723","2017-2018","Saint Louis"
"10724","2017-2018","Saint Mary's (CA)"
"10725","2017-2018","Saint Peter's"
"10726","2017-2018","Sam Houston State"
"10727","2017-2018","Samford"
"10728","2017-2018","San Diego"
"10729","2017-2018","San Diego State"
"10730","2017-2018","San Francisco"
"10731","2017-2018","San Jose State"
"10732","2017-2018","Santa Clara"
"10733","2017-2018","Savannah State"
"10734","2017-2018","Seattle"
"10735","2017-2018","Seton Hall"
"10736","2017-2018","Siena"
"10737","2017-2018","SIU Edwardsville"
"10738","2017-2018","South Alabama"
"10739","2017-2018","South Carolina"
"10740","2017-2018","South Carolina State"
"10741","2017-2018","South Carolina Upstate"
"10742","2017-2018","South Dakota"
"10743","2017-2018","South Dakota State"
"10744","2017-2018","South Florida"
"10745","2017-2018","Southeast Missouri State"
"10746","2017-2018","Southeastern Louisiana"
"10747","2017-2018","Southern"
"10748","2017-2018","Southern California"
"10749","2017-2018","Southern Illinois"
"10750","2017-2018","Southern Methodist"
"10751","2017-2018","Southern Mississippi"
"10752","2017-2018","Southern Utah"
"10753","2017-2018","St. Bonaventure"
"10754","2017-2018","St. Francis (NY)"
"10755","2017-2018","St. John's (NY)"
"10756","2017-2018","Stanford"
"10757","2017-2018","Stephen F. Austin"
"10758","2017-2018","Stetson"
"10759","2017-2018","Stony Brook"
"10760","2017-2018","Syracuse"
"10761","2017-2018","Temple"
"10762","2017-2018","Tennessee"
"10763","2017-2018","Tennessee-Martin"
"10764","2017-2018","Tennessee State"
"10765","2017-2018","Tennessee Tech"
"10766","2017-2018","Texas"
"10767","2017-2018","Texas-Arlington"
"10768","2017-2018","Texas-El Paso"
"10769","2017-2018","Texas-Rio Grande Valley"
"10770","2017-2018","Texas-San Antonio"
"10771","2017-2018","Texas A&M"
"10772","2017-2018","Texas A&M-Corpus Christi"
"10773","2017-2018","Texas Christian"
"10774","2017-2018","Texas Southern"
"10775","2017-2018","Texas State"
"10776","2017-2018","Texas Tech"
"10777","2017-2018","Toledo"
"10778","2017-2018","Towson"
"10779","2017-2018","Troy"
"10780","2017-2018","Tulane"
"10781","2017-2018","Tulsa"
"10782","2017-2018","UC-Davis"
"10783","2017-2018","UC-Irvine"
"10784","2017-2018","UC-Riverside"
"10785","2017-2018","UC-Santa Barbara"
"10786","2017-2018","UCLA"
"10787","2017-2018","University of California"
"10788","2017-2018","Utah"
"10789","2017-2018","Utah State"
"10790","2017-2018","Utah Valley"
"10791","2017-2018","Valparaiso"
"10792","2017-2018","Vanderbilt"
"10793","2017-2018","Vermont"
"10794","2017-2018","Villanova"
"10795","2017-2018","Virginia"
"10796","2017-2018","Virginia Commonwealth"
"10797","2017-2018","Virginia Tech"
"10798","2017-2018","VMI"
"10799","2017-2018","Wagner"
"10800","2017-2018","Wake Forest"
"10801","2017-2018","Washington"
"10802","2017-2018","Washington State"
"10803","2017-2018","Weber State"
"10804","2017-2018","West Virginia"
"10805","2017-2018","Western Carolina"
"10806","2017-2018","Western Illinois"
"10807","2017-2018","Western Kentucky"
"10808","2017-2018","Western Michigan"
"10809","2017-2018","Wichita State"
"10810","2017-2018","William & Mary"
"10811","2017-2018","Winthrop"
"10812","2017-2018","Wisconsin"
"10813","2017-2018","Wofford"
"10814","2017-2018","Wright State"
"10815","2017-2018","Wyoming"
"10816","2017-2018","Xavier"
"10817","2017-2018","Yale"
"10818","2017-2018","Youngstown State"
"10819","2018-2019","Abilene Christian"
"10820","2018-2019","Air Force"
"10821","2018-2019","Akron"
"10822","2018-2019","Alabama"
"10823","2018-2019","Alabama-Birmingham"
"10824","2018-2019","Alabama A&M"
"10825","2018-2019","Alabama State"
"10826","2018-2019","Albany (NY)"
"10827","2018-2019","Alcorn State"
"10828","2018-2019","American"
"10829","2018-2019","Appalachian State"
"10830","2018-2019","Arizona"
"10831","2018-2019","Arizona State"
"10832","2018-2019","Arkansas"
"10833","2018-2019","Arkansas-Pine Bluff"
"10834","2018-2019","Arkansas State"
"10835","2018-2019","Army"
"10836","2018-2019","Auburn"
"10837","2018-2019","Austin Peay"
"10838","2018-2019","Ball State"
"10839","2018-2019","Baylor"
"10840","2018-2019","Belmont"
"10841","2018-2019","Bethune-Cookman"
"10842","2018-2019","Binghamton"
"10843","2018-2019","Boise State"
"10844","2018-2019","Boston College"
"10845","2018-2019","Boston University"
"10846","2018-2019","Bowling Green State"
"10847","2018-2019","Bradley"
"10848","2018-2019","Brigham Young"
"10849","2018-2019","Brown"
"10850","2018-2019","Bryant"
"10851","2018-2019","Bucknell"
"10852","2018-2019","Buffalo"
"10853","2018-2019","Butler"
"10854","2018-2019","Cal Poly"
"10855","2018-2019","Cal State Bakersfield"
"10856","2018-2019","Cal State Fullerton"
"10857","2018-2019","Cal State Northridge"
"10858","2018-2019","California Baptist"
"10859","2018-2019","Campbell"
"10860","2018-2019","Canisius"
"10861","2018-2019","Central Arkansas"
"10862","2018-2019","Central Connecticut State"
"10863","2018-2019","Central Florida"
"10864","2018-2019","Central Michigan"
"10865","2018-2019","Charleston Southern"
"10866","2018-2019","Charlotte"
"10867","2018-2019","Chattanooga"
"10868","2018-2019","Chicago State"
"10869","2018-2019","Cincinnati"
"10870","2018-2019","Citadel"
"10871","2018-2019","Clemson"
"10872","2018-2019","Cleveland State"
"10873","2018-2019","Coastal Carolina"
"10874","2018-2019","Colgate"
"10875","2018-2019","College of Charleston"
"10876","2018-2019","Colorado"
"10877","2018-2019","Colorado State"
"10878","2018-2019","Columbia"
"10879","2018-2019","Connecticut"
"10880","2018-2019","Coppin State"
"10881","2018-2019","Cornell"
"10882","2018-2019","Creighton"
"10883","2018-2019","Dartmouth"
"10884","2018-2019","Davidson"
"10885","2018-2019","Dayton"
"10886","2018-2019","Delaware"
"10887","2018-2019","Delaware State"
"10888","2018-2019","Denver"
"10889","2018-2019","DePaul"
"10890","2018-2019","Detroit Mercy"
"10891","2018-2019","Drake"
"10892","2018-2019","Drexel"
"10893","2018-2019","Duke"
"10894","2018-2019","Duquesne"
"10895","2018-2019","East Carolina"
"10896","2018-2019","East Tennessee State"
"10897","2018-2019","Eastern Illinois"
"10898","2018-2019","Eastern Kentucky"
"10899","2018-2019","Eastern Michigan"
"10900","2018-2019","Eastern Washington"
"10901","2018-2019","Elon"
"10902","2018-2019","Evansville"
"10903","2018-2019","Fairfield"
"10904","2018-2019","Fairleigh Dickinson"
"10905","2018-2019","Florida"
"10906","2018-2019","Florida A&M"
"10907","2018-2019","Florida Atlantic"
"10908","2018-2019","Florida Gulf Coast"
"10909","2018-2019","Florida International"
"10910","2018-2019","Florida State"
"10911","2018-2019","Fordham"
"10912","2018-2019","Fresno State"
"10913","2018-2019","Furman"
"10914","2018-2019","Gardner-Webb"
"10915","2018-2019","George Mason"
"10916","2018-2019","George Washington"
"10917","2018-2019","Georgetown"
"10918","2018-2019","Georgia"
"10919","2018-2019","Georgia Southern"
"10920","2018-2019","Georgia State"
"10921","2018-2019","Georgia Tech"
"10922","2018-2019","Gonzaga"
"10923","2018-2019","Grambling"
"10924","2018-2019","Grand Canyon"
"10925","2018-2019","Green Bay"
"10926","2018-2019","Hampton"
"10927","2018-2019","Hartford"
"10928","2018-2019","Harvard"
"10929","2018-2019","Hawaii"
"10930","2018-2019","High Point"
"10931","2018-2019","Hofstra"
"10932","2018-2019","Holy Cross"
"10933","2018-2019","Houston"
"10934","2018-2019","Houston Baptist"
"10935","2018-2019","Howard"
"10936","2018-2019","Idaho"
"10937","2018-2019","Idaho State"
"10938","2018-2019","Illinois"
"10939","2018-2019","Illinois-Chicago"
"10940","2018-2019","Illinois State"
"10941","2018-2019","Incarnate Word"
"10942","2018-2019","Indiana"
"10943","2018-2019","Indiana State"
"10944","2018-2019","Iona"
"10945","2018-2019","Iowa"
"10946","2018-2019","Iowa State"
"10947","2018-2019","IUPUI"
"10948","2018-2019","Jackson State"
"10949","2018-2019","Jacksonville"
"10950","2018-2019","Jacksonville State"
"10951","2018-2019","James Madison"
"10952","2018-2019","Kansas"
"10953","2018-2019","Kansas State"
"10954","2018-2019","Kennesaw State"
"10955","2018-2019","Kent State"
"10956","2018-2019","Kentucky"
"10957","2018-2019","La Salle"
"10958","2018-2019","Lafayette"
"10959","2018-2019","Lamar"
"10960","2018-2019","Lehigh"
"10961","2018-2019","Liberty"
"10962","2018-2019","Lipscomb"
"10963","2018-2019","Little Rock"
"10964","2018-2019","Long Beach State"
"10965","2018-2019","Long Island University"
"10966","2018-2019","Longwood"
"10967","2018-2019","Louisiana"
"10968","2018-2019","Louisiana-Monroe"
"10969","2018-2019","Louisiana State"
"10970","2018-2019","Louisiana Tech"
"10971","2018-2019","Louisville"
"10972","2018-2019","Loyola (IL)"
"10973","2018-2019","Loyola (MD)"
"10974","2018-2019","Loyola Marymount"
"10975","2018-2019","Maine"
"10976","2018-2019","Manhattan"
"10977","2018-2019","Marist"
"10978","2018-2019","Marquette"
